Designator,Footprint,Quantity,Value,LCSC Part #
"+VIN1, +VOUT1, -VIN1, -VOUT1, TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP3, TP30, TP31, TP32, TP33, TP34, TP35, TP37, TP38, TP39, TP4, TP41, TP42, TP43, TP44, TP46, TP47, TP5, TP6, TP8, TP9",TestPoint_Pad_D1.0mm,47,~,DNP
"C1, C10, C11, C12, C22, C23, C25, C27, C29, C3, C30, C31, C33, C37, C4, C41, C46, C49, C5, C50, C51, C6, C7, C8, C9",0805,25,0.1u,C49678
"C13, C14",0805,2,DNP,DNP
"C15, C16, C17, C18, C19, C20, C34, C35, C44, C52, C53, C54",0805,12,1u,C28323
C2,0805,1,4.7u,C1779
"C21, C26",0805,2,_MHz,DNP
"C24, C28",0805,2,C_Small,DNP
"C32, C48",0805,2,1n,C46653
"C36, C47",0805,2,10u,C15850
"C38, C39, C42, C43",CP_EIA-3216-18_Kemet-A,4,10u,C7171
C40,0805,1,10n,C1710
C45,PCAP_TPB_D4_PAN,1,220u,C242173
"D1, D2, D3, D4, D5, D6, D7, D8",SOD323_F_,8,1PS76SB17-115,C551398
D10,SOT-23,1,NUP2105L,C2890118
D11,D_SMA,1,SS34,C8678
"D12, D13, D16, D9",0805,4,NCD0805R1,C84256
D14,D_SMA_Handsoldering,1,1N4004,C727080
D15,0805,1,LED,C2297
D17,HPZRC14X,1,HPZR-C14X,DNP
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,DNP
J1,PinHeader_2x03_P2.54mm_Vertical,1,Conn_01x06,DNP
J2,CONN_500762-1001_MOL,1,5007621001,DNP
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,NC,DNP
"JP2, JP3, JP4",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,3,SolderJumper_3_Open,
K1,RELAY_DSP2A_PAN,1,DSP2A-DC12V,DNP
L1,IND_CDRH104_SUM,1,15uH,C225048
"Q1, Q2, Q3",SOT-23,3,MMBF170,C151058
Q4,SOT-23,1,MMFTP2319,DNP
R1,0805,1,2k2,C17520
"R10, R3, R36, R4, R42, R48, R49, R50, R55, R57, R61, R65, R66, R68, R69, R7, R8, R85, R86, R9",0805,20,10k,C17414
"R11, R12, R15, R16, R17, R18, R64",0805,7,3k8,C228799
"R13, R14, R46, R47, R82, R84",0805,6,9.7k,C374689
"R19, R53",0805,2,200,C17540
"R2, R59, R60, R71, R87",0805,5,100k,C149504
"R20, R21, R28",0805,3,0R,C17477
"R22, R23, R24, R25, R26, R27",0805,6,82,C17841
"R29, R41, R56",0805,3,15k,C17475
R30,0805,1,66,
R31,0805,1,14k,C17464
R32,0805,1,453,
R33,0805,1,120,C17437
"R34, R35",0805,2,1M,C17514
"R37, R38, R51, R77",0805,4,82k,C17840
"R39, R40, R52, R78",0805,4,18k,C17506
"R43, R58",0805,2,47k,C17713
"R44, R45, R5, R6, R79, R83",0805,6,5k,C2828700
R54,0805,1,68k,C17801
R62,0805,1,3.24k,C4194377
R63,0805,1,330R,C17630
R67,0805,1,2k,C17604
"R70, R73, R74",0805,3,1k,C17513
R72,0805,1,300,C17617
"R75, R76, R80, R81",0805,4,DNP,C865361
"RV1, RV2",Potentiometer_Bourns_3296W_Vertical,2,1k,
"RV3, RV4",Potentiometer_Bourns_3296W_Vertical,2,100k,
"SW1, SW2",SW_Push_1P1T_XKB_TS-1187A,2,SW_MEC_5G,C318884
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,C69336
U10,TI_SO-PowerPAD-8_ThermalVias,1,TPS5431DDA,C9864
U11,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC14,C5605
"U12, U13, U14, U17",SOIC-8_3.9x4.9mm_P1.27mm,4,LM393,C32901
U15,SOT95P280X125-5N,1,BU4S71G2-TR,C2837802
U16,SOIC127P600X175-14N,1,"HEF4081BT,653",C148318
"U2, U3, U4, U5, U8",SOIC-8_3.9x4.9mm_P1.27mm,5,LM358,C9418
U6,SOIC-16_3.9x9.9mm_P1.27mm,1,MAX3232,C18261
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
U9,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,Crystal_GND24_Small,
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,Crystal_GND23_Small,DNP
