Designator,Mid X,Mid Y,Rotation,Layer
C1,128.6335,-116.813,0.0,top
C10,81.9555,-138.303,0.0,top
C11,117.479,-102.843,180.0,top
C12,118.495,-100.557,180.0,top
C15,72.6806,-108.7628,0.0,top
C16,85.8886,-110.0328,180.0,top
C17,72.768,-123.444,0.0,top
C18,85.976,-124.714,180.0,top
C19,72.833,-138.049,0.0,top
C2,132.2325,-100.557,0.0,top
C20,86.041,-139.319,180.0,top
C21,109.438,-105.323,180.0,top
C22,142.2805,-68.58,0.0,top
C23,161.163,-77.597,180.0,top
C24,109.4595,-107.609,180.0,top
C25,149.287,-68.58,0.0,top
C26,109.438,-99.354,180.0,top
C27,81.215,-81.524,0.0,top
C28,109.4595,-101.64,180.0,top
C29,139.889,-74.295,0.0,top
C3,132.211,-102.843,0.0,top
C30,139.889,-71.882,180.0,top
C31,139.8675,-76.962,180.0,top
C32,190.057,-84.963,180.0,top
C33,164.8245,-88.138,180.0,top
C34,171.545,-88.392,0.0,top
C35,154.5375,-88.138,180.0,top
C36,182.4355,-129.032,0.0,top
C37,199.6875,-81.661,0.0,top
C38,160.8925,-112.335,0.0,top
C39,178.1175,-107.636,180.0,top
C4,131.068,-114.654,0.0,top
C40,169.9895,-127.889,180.0,top
C41,201.428,-92.39,0.0,top
C42,178.1175,-110.151,180.0,top
C43,178.1175,-112.716,180.0,top
C44,154.559,-97.79,180.0,top
C45,172.7835,-118.999,0.0,top
C46,209.55,-94.488,0.0,top
C47,201.422,-126.746,0.0,top
C48,189.803,-113.919,180.0,top
C49,205.486,-132.334,0.0,top
C5,120.2515,-116.178,180.0,top
C50,199.4335,-110.617,0.0,top
C51,192.786,-96.139,0.0,top
C52,171.45,-97.79,0.0,top
C53,114.808,-72.136,180.0,top
C54,123.444,-72.136,0.0,top
C6,115.828,-110.463,180.0,top
C7,81.6761,-94.4118,0.0,top
C8,81.8246,-109.0168,0.0,top
C9,81.8905,-123.698,0.0,top
D1,76.871853,-102.538543,180.0,top
D10,173.9415,-74.422,180.0,top
D11,163.1885,-132.334,0.0,top
D12,158.8172,-105.2068,0.0,top
D13,179.5526,-124.1806,0.0,top
D14,205.486,-143.51,270.0,top
D15,210.566,-133.096,0.0,top
D16,101.6102,-130.5708,0.0,top
D17,150.34,-131.88,0.0,top
D2,80.4276,-102.5398,0.0,top
D3,76.9986,-117.1448,180.0,top
D4,80.5546,-117.1448,0.0,top
D5,77.086253,-131.824743,180.0,top
D6,80.642,-131.826,0.0,top
D7,77.151253,-146.429743,180.0,top
D8,80.707,-146.431,0.0,top
D9,107.832,-95.3516,180.0,top
J1,116.6622,-91.0844,90.0,top
J2,139.1758,-149.874999,0.0,top
K1,192.278,-143.51,270.0,top
L1,161.2265,-123.439,270.0,top
Q1,191.1835,-135.062,180.0,top
Q2,210.6445,-136.332,0.0,top
Q3,184.8635,-134.94,0.0,top
Q4,155.42,-132.79,180.0,top
R1,101.6,-132.88,0.0,top
R10,84.755,-146.431,180.0,top
R11,72.5536,-98.9838,0.0,top
R12,84.4756,-102.5398,180.0,top
R13,72.6806,-115.8748,0.0,top
R14,84.6346,-117.1448,180.0,top
R15,72.768,-128.27,0.0,top
R16,84.69,-131.826,180.0,top
R17,72.833,-142.875,0.0,top
R18,84.755,-144.145,180.0,top
R19,107.825,-92.964,0.0,top
R2,152.72,-128.9,0.0,top
R20,72.5536,-96.4438,180.0,top
R21,84.4916,-97.7138,0.0,top
R22,72.6646,-111.0488,180.0,top
R23,84.6186,-112.3188,0.0,top
R24,72.768,-125.73,180.0,top
R25,84.706,-127.0,0.0,top
R26,72.833,-140.335,180.0,top
R27,84.771,-141.605,0.0,top
R28,160.212,-69.977,180.0,top
R29,89.154,-85.09,180.0,top
R3,72.5536,-101.2698,0.0,top
R30,135.001,-128.7526,180.0,top
R31,107.204,-85.09,0.0,top
R32,130.6482,-128.7526,0.0,top
R33,168.926,-73.152,180.0,top
R34,71.898,-86.096,180.0,top
R35,83.947,-87.366,0.0,top
R36,190.057,-82.677,0.0,top
R37,175.609,-86.233,180.0,top
R38,150.4895,-85.852,0.0,top
R39,171.529,-86.233,180.0,top
R4,84.4756,-100.2538,180.0,top
R40,154.5375,-85.852,0.0,top
R41,190.041,-87.249,0.0,top
R42,190.057,-89.535,0.0,top
R43,202.487,-86.233,0.0,top
R44,171.577,-90.551,0.0,top
R45,154.5375,-90.424,180.0,top
R46,175.641,-90.551,180.0,top
R47,150.4735,-90.424,0.0,top
R48,194.629,-80.391,180.0,top
R49,202.487,-83.947,180.0,top
R5,72.6806,-113.5888,0.0,top
R50,195.072,-99.441,180.0,top
R51,150.511,-95.504,0.0,top
R52,154.54,-95.504,0.0,top
R53,158.8186,-107.6602,0.0,top
R54,201.422,-129.032,180.0,top
R55,189.803,-111.633,0.0,top
R56,189.787,-116.205,0.0,top
R57,189.803,-118.491,0.0,top
R58,202.233,-115.189,0.0,top
R59,196.342,-126.746,0.0,top
R6,84.6186,-114.8588,180.0,top
R60,196.342,-129.032,180.0,top
R61,170.7515,-123.063,0.0,top
R62,169.9195,-131.656,180.0,top
R63,179.492,-121.8916,0.0,top
R64,189.484,-125.984,180.0,top
R65,194.375,-109.347,180.0,top
R66,202.233,-112.903,180.0,top
R67,189.484,-130.556,0.0,top
R68,189.484,-128.27,180.0,top
R69,183.388,-98.171,0.0,top
R7,72.768,-130.556,0.0,top
R70,206.248,-137.414,0.0,top
R71,210.55,-139.7,0.0,top
R72,210.566,-130.81,0.0,top
R73,202.487,-88.519,0.0,top
R74,202.233,-117.475,0.0,top
R77,175.514,-95.631,180.0,top
R78,171.434,-95.631,180.0,top
R79,171.482,-99.949,0.0,top
R8,84.69,-129.54,180.0,top
R82,175.546,-99.949,180.0,top
R83,154.559,-99.949,180.0,top
R84,150.495,-99.949,0.0,top
R85,109.982,-77.3938,180.0,top
R86,128.143,-77.5208,180.0,top
R87,186.166,-108.458,180.0,top
R9,72.82,-145.161,0.0,top
RV1,95.25,-82.56,90.0,top
RV2,101.319,-82.56,90.0,top
RV3,197.993,-71.745,270.0,top
RV4,191.702,-71.755,270.0,top
SW1,122.809,-80.264,90.0,top
SW2,115.346,-80.2358,90.0,top
U1,124.805,-108.244,270.0,top
U10,176.0505,-129.729,0.0,top
U11,162.876,-93.98,270.0,top
U12,196.088,-85.598,270.0,top
U13,195.834,-114.554,270.0,top
U14,189.23,-100.076,270.0,top
U15,199.012,-95.504,0.0,top
U16,205.74,-100.33,0.0,top
U17,199.136,-134.112,270.0,top
U2,78.4606,-98.3488,270.0,top
U3,78.5876,-112.9538,270.0,top
U4,78.675,-127.635,270.0,top
U5,78.74,-142.24,270.0,top
U6,145.796,-75.057,270.0,top
U7,163.006,-73.787,270.0,top
U8,77.851,-85.461,270.0,top
U9,168.8465,-110.099,180.0,top
Y1,104.739,-106.339,270.0,top
Y2,105.12,-99.354,180.0,top
