Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C2, C20, C25, C26, C28, C3, C30, C31, C38, C4, C43, C6, C7, C8, C9",0805,24,0.1u,C28233
"C18, C19, C36, C37, C39, C40, C46, C47",CP_EIA-3216-18_Kemet-A,8,10u,C7171
"C21, C22",0805,2,20p,C1798
"C23, C24",0805,2,22p,C1804
"C27, C29",0805,2,2.2n,C28260
"C32, C35",0805,2,1u,DNP
"C33, C49",0805,2,10n,C1710
"C34, C48",0805,2,10u,C15850
"C41, C42, C44, C45, C51",0805,5,1u,C28323
C5,0805,1,4.7u,C1779
C50,PCAP_TPB_D4_PAN,1,220u,C242173
C52,0805,1,DNP,DNP
"D1, D13",SOT-23,2,NUP2105L,C284104
"D10, D11, D12, D6, D7, D9",D_MiniMELF,6,ZMM3V3-M,DNP
"D14, D15, D16, D17, D19, D2, D4",0805,7,NCD0805R1,C84256
D18,D_SMA,1,SS34,C8678
D3,D_SMA,1,US1M,C412437
D5,D_MiniMELF,1,BZV55C15,C545332
D8,0805,1,KT-0805G,C2297
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,DNP
"HV+1, HV-1, TP1, TP36, TP37",TestPoint_Pad_D1.0mm,5,HIL_TSAL_HV_GND,DNP
J1,CONN_500762-1001_MOL,1,5007621001,DNP
J2,microSD_HC_Molex_104031-0811,1,Micro_SD_Card_Det,C585350
J3,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J4,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J5,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,DNP
"JP1, JP2",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,NC,DNP
"JP5, JP6",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,Jumper_2_Open,
L1,IND_CDRH104_SUM,1,15uH,C225048
"Q1, Q2, Q3, Q4",SOT-23,4,AO3400A,C20917
"Q5, Q6, Q7, Q8, Q9",SOT-23,5,MMBF170,C20917
"R1, R10, R15, R16, R3, R35, R42, R44, R6, R63, R65, R67",0805,12,10k,C17414
"R11, R20, R7, R8",0805,4,0R,C17477
"R12, R5",0805,2,120,C17437
"R13, R17, R62, R9",0805,4,200,C17540
"R14, R25, R43",0805,3,2k2,C17520
"R18, R19",0805,2,4k7,C17673
"R2, R4",0805,2,4.7k,C17673
"R21, R22, R23, R24, R27, R28, R29, R30",0805,8,300k,C149504
"R26, R32",0805,2,1k,C17513
R31,0805,1,18k,C17506
R33,2512,1,0.01R,C149504
R34,0805,1,1k2,C17379
"R36, R45, R52, R55, R58, R61",0805,6,9k1,C17855
R37,0805,1,22k,C17560
R38,0805,1,51k,C17737
"R40, R46",0805,2,82,C17477
"R41, R47, R49, R54, R57, R60",0805,6,3k6,C18359
R48,0805,1,1k3,C17414
"R50, R53, R56, R59",0805,4,82,C23255
R51,0805,1,47,C17714
R64,0805,1,3.24k,C4194377
R66,0805,1,330R,C17630
"SW1, SW2, SW3, SW4",SW_Push_1P1T_XKB_TS-1187A,4,SW_MEC_5G,C318884
"TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP34, TP35, TP38, TP39, TP40, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,34,~,DNP
TP2,TestPoint_Pad_D1.0mm,1,HIL_IN_TSAL,DNP
TP3,TestPoint_Pad_D1.0mm,1,DIS,DNP
TP4,TestPoint_Pad_D1.0mm,1,THR,DNP
"U1, U5",SOIC-8_3.9x4.9mm_P1.27mm,2,SN65HVD230,C12084
"U10, U15, U17",SOIC-8_3.9x4.9mm_P1.27mm,3,LM358,C7950
U11,SOIC-8_3.9x4.9mm_P1.27mm,1,NE555DR,C7593
U12,SOP-4_3.8x4.1mm_P2.54mm,1,"EL357NC
",C29981
U13,D24V150F12,1,DV24V150F12,DNP
"U14, U16",SOT-223-3_TabPin2,2,AMS1117-3.3,
U18,TI_SO-PowerPAD-8_ThermalVias,1,TPS5431DDA,
U2,SOT-23-6,1,TMP101,C388175
U3,ESP32-WROOM-32,1,ESP32-WROOM-32,C529581
U4,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,C69336
U6,TSSOP-16_4.4x5mm_P0.65mm,1,MAX3232,C13482
U7,Converter_DCDC_TRACO_TMR-xxxx_THT,1,TMR-1212,DNP
U8,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,C24112
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,LM393,C7955
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,9p,C13738
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,12p5,C32346
