Designator,Mid X,Mid Y,Rotation,Layer
C1,139.124019,59.205,180.0,top
C10,59.499019,40.625,0.0,top
C11,45.786519,42.875,180.0,top
C12,55.786519,26.375,0.0,top
C13,90.911519,50.02,180.0,top
C14,151.729019,77.885,0.0,top
C15,145.129019,77.925,0.0,top
C16,148.009019,70.165,0.0,top
C17,141.859019,75.615,180.0,top
C18,123.911519,47.0,0.0,top
C19,144.236519,49.3,180.0,top
C2,71.311519,49.845,180.0,top
C20,141.869019,73.035,180.0,top
C21,38.574019,38.375,180.0,top
C22,38.574019,35.875,180.0,top
C23,38.286519,44.125,180.0,top
C24,38.324019,41.875,180.0,top
C25,125.6325,63.54,0.0,top
C26,116.01,62.91,0.0,top
C27,123.8675,68.74,0.0,top
C28,50.578,81.304,0.0,top
C29,123.58,60.7,0.0,top
C3,118.605,98.5375,180.0,top
C30,91.37,91.4,180.0,top
C31,15.403519,54.382,0.0,top
C32,6.005519,55.017,0.0,top
C33,87.8325,82.4,0.0,top
C34,80.87,89.3,0.0,top
C35,19.381019,53.239,180.0,top
C36,144.236519,51.8,180.0,top
C37,144.236519,46.8,180.0,top
C38,15.542519,39.255,0.0,top
C39,136.661519,40.7,180.0,top
C4,116.469019,75.275,180.0,top
C40,141.561519,40.9,180.0,top
C41,5.890519,37.731,0.0,top
C42,19.606519,38.239,180.0,top
C43,15.651,23.988,0.0,top
C44,5.8935,23.458,0.0,top
C45,19.7235,23.318,180.0,top
C46,141.524019,38.4,180.0,top
C47,141.561519,35.9,180.0,top
C48,101.361519,23.525,0.0,top
C49,89.036519,24.825,180.0,top
C5,59.499019,42.875,0.0,top
C50,92.761519,33.725,0.0,top
C51,118.605,96.2875,0.0,top
C6,43.036519,32.875,180.0,top
C7,47.274019,27.16,180.0,top
C8,44.786519,40.625,180.0,top
C9,58.286519,28.625,0.0,top
D1,85.099019,53.855,180.0,top
D10,14.526519,29.095,180.0,top
D11,9.3905,13.742,0.0,top
D12,14.9785,13.742,180.0,top
D13,104.999019,53.42,180.0,top
D14,138.711519,44.1,180.0,top
D15,152.061519,40.4,180.0,top
D16,92.386519,17.0,0.0,top
D17,48.739519,19.356,0.0,top
D18,82.036519,19.825,0.0,top
D19,101.236519,31.625,0.0,top
D2,131.061519,78.525,180.0,top
D3,9.536519,91.225,180.0,top
D4,75.87,85.9,0.0,top
D5,39.4,76.75,0.0,top
D6,8.995019,44.095,0.0,top
D7,14.583019,44.095,180.0,top
D8,71.07,85.9,0.0,top
D9,8.684519,29.095,0.0,top
J1,62.403098,2.945001,0.0,top
J2,147.961519,59.8,270.0,top
J3,152.752519,84.609,0.0,top
J4,54.312519,54.119,90.0,top
J5,152.761519,94.7,0.0,top
L1,81.361519,29.4,270.0,top
Q1,19.7125,2.75,180.0,top
Q2,19.7125,7.5,180.0,top
Q3,59.736519,19.225,180.0,top
Q4,54.660019,19.316,180.0,top
Q5,93.6825,77.05,180.0,top
